text	user_id	find_texts	find_modids
Здравствуйте ,подскажите косгу струна для гетары	19689341	No	No
Добрый день, Автономное учреждение в 2022 году оплатило госпошлину при подаче искового заявления в Арбитражный суд. В 2023 году получено определение о взыскании в пользу автономного учреждения произведенных в прошлом году расходов по оплате госпошлины. На какой КОСГУ осуществить поступление таких расходов. Спасибо.	19038778	No	No
Здравствуйте,подскажите пожалуйста, (Автономное учреждение купило брус, оприходывало на 346) по какому КОСГУ оплачивать обработку бруса?	3343876	['обработка']	['12/347542']
Доброе утро. Бюджетное учреждение получили в безвозмездное пользование гараж. Необходимо сделать монтаж и наладку узла коммерческого учета тепловой энергии, системы ГВС и ХВС и монтаж охранной и пожарной сигнализации. Подскажите КВР и КОСГУ. Два договора будет на пожарно-охранную сигнализацию и коммерческий узел учета	19400256	['пожарный сигнализация', 'монтаж', 'охранный сигнализация']	['12/430615', '12/347479', '12/347527']
Учет флагштока- КОСГУ, ОКОФ?	1618547	No	No
Добрый день. Подскажите пожалуйста КОСГУ продуктов питания для учебного процесса	2928791	No	No
Добрый день. Институт является бюджетным образовательным учреждением. Сотрудник прошел медосмотр самостоятельно принес документы возмещение материальных затрат бут КВР112 КОСГУ 226?	8293913	No	No
Добрый день. литература для подготовки к урокам с использованием методики преподавания косгу? относится ли к учебным или учебно-наглядным пособиям?	6287142	No	No
Здравствуйте. Подскажите, пожалуйста, КВР и КОСГУ для оплаты финансовых санкций, предусмотренных ст.17 ФЗ от 01.04.1996 № 27-ФЗ.	3524200	No	No
Здравствуйте! Возмещение работнику в командировке перевозки груза (мед оборудование согласно служебной записки) это КОСГУ 222?	5185324	No	No
День добрый. По какому КОСГУ учесть покупку и монтаж карниза для штор?	18379169	['монтаж']	['12/347479']
косгу для оплата проволоки сварочной для ремонта автомобилей	9126403	['проволока сварочный']	['12/347516']
Подскажите пожалуйста вид расходов и КОСГУ для отражения медосмотра работника при приеме на работу (бюджетное учреждение)	1606188	No	No
Здравствуйте, напишите пож-та по какому косгу оплатить экспертизу промышленной безопасности дымовых труб газовой котельной?	2938172	No	No
Какой КВР и КОСГУ по услуге: размещение вакансий на сайте?	563978	No	No
КВР и КОСГУ налог на доходы физических лиц с аренды транспортного средства?	5452846	No	No
Добрый день! Подскажите пожалуйста по кому КОСГУ оплатить договор гпх на ремонт забора, исполнитель (физлицо) делает ремонт собственными материалами?	3362459	['ремонт забор']	['86/196012']
Здравствуйте! по какому КОСГУ и КВР отражать расходы в бух учете? договор ГПХ по технологии приемная семья для пожилого человека. Это соц услуга, уход за гражданами пожилого возраста и инвалидами, может быть совместное проживание и раздельное	734745	No	No
Здравствуйте мы казенное учреждение культуры подскажите пожалуйста в рамках Гражданской обороны нам необходимо приобрести спец средства такие как комплект специальной обработки техники КСО, дегазационный комплект ИДК-1м,комплект санитарной обработки личного состава в сумке. В бухгалтерии приняли решение что все это приобретается с КОСГУ 310 т.к. все это служит более 1 года. А тогда на какой счет бухгалтерского учета это все оприходовать и если можно с ОКОФами.	3523627	['обработка']	['12/347542']
Добрый день! Подскажите по какому КОСГУ оплатить услуги по производственному контролю лаборатории	2087703	No	No
Добрый день, подскажите по какому КВР и КОСГУ провести расход казенному учреждению за оплату гос.пошлины за изменение регистрационных данных автомобиля?	731903	['провод']	['12/347516']
Здравствуйте! Спасибо за ответ. В продолжение нашего вопроса: если изъятие и оценка земельных участков под объект капитального строительства предусмотрены в концессионном соглашении,то в таком случае расходы будут по КВР 415 КОСГУ 310?	2076144	No	No
Программиста отправили в командировку установить оборудование. Он заплатил за свой билет и отдельно за груз (оборудование). Билет это КОСГУ 226. Интересует КОСГУ багажной квитанции, в которой указано: Продажа груза 24 кг.	5185324	No	No
Доброе утро! Как оплатить (КВР и КОСГУ) и вести учет простой неисключительной лицензии на использование базы данных сроком действия 6 мес. и 12 мес. Обе лицензии начинают действие в 2023 году и завершаются в 2024 году.	1540228	No	No
Добрый день. По какому ВР и КОСГУ осуществить оплату по полученному учреждением решению суда -почтовых расходов	3439515	No	No
Здравствуйте, услуги за обращения с отходами 1 и 2 класса опасности косгу и квр	7692283	No	No
Здравствуйте. Если из налоговой пришло требование по прошлым долгам (основной долг и пени). По какому КОСГу необходимо оплатить?	4419755	['пеня']	['86/287439']
Добрый день. Изготовление и установка противопожарных дверей какой КОСГУ? и нужно ли эти двери ставить на учет?	3554849	['установка противопожарный дверь', 'дверь']	['12/347595']
добрый день, подскажите, пжлст, косгу по текущему ремонту индивидуальных тепловых приборов7	17635105	['текущий ремонт']	['86/196012']
КОСГУ на приобретение клиентской лицензии	4173282	No	No
Добрый день. Подскажите, какой КПС указывается в 15-17 разряде счета 401.20 с косгу 224 (начисление амортизации)?	1930113	No	No
Добрый день, визуальный осмотр мостов по какому КОСГУ ?	4995250	No	No
здравствуйте, подскажите пожалуйста, МБУ оплатили домен и хостинг на 1 год это 320 косгу	2089492	No	No
Здравствуйте! Подскажите пожалуйста КОСГУ блока сигнально-пусковой, расширитель адресный	15480870	No	No
Доброе утро, по какому КОСГУ приобрести спортивную форму участникам спартакиады бюджетному учереждению ?	16643065	No	No
Добрый день! Возвращаем субсидию за прошлый год. В счете 502.11 КОСГУ 610, а КВР какой? Тоже 610 для принятия обязательств или 000?	2271775	No	No
добрый день! какой будет косгу оплата услуги за трансляцию в ютуб канале?	5485583	No	No
Добрый день. По какому косгу отобразить приобретение карты флеш памяти в 2023 году в казенном учреждении	20111067	No	No
Здраствуйте, в рамках капитального ремонта, приобретается стройматериал для создания емкости, по какому КВР и КОСГУ провести?	6008564	['капитальный ремонт', 'стройматериал', 'провод']	['86/196012', '12/347516']
Здравствуйте, подскажите пожалуйста на лицевой счет бюджетного учреждения поступили денежные средства .Какой счет, КЕК, КОСГУ (Прочая закупка товаров,работ и услуг(возмещение части расходов на ГСМ)	5941436	No	No
Подскажите пожалуйста какой Косгу по почвенному обследованию земельных участков?	16768595	No	No
Здравствуйте. Подскажите пожалуйста КВР и КОСГУ по оплате пеней за нарушение условий контракта и компенсация госпошлины за подачу иска в суд	923615	['пеня']	['86/287439']
Добрый день. Орган местного самоуправления осуществляет приобретение и установку уличных светильников. Данный объект на бухгалтерском учете не состоит, По какому КОСГУ оплачивать данные расходы - КОСГУ 225 или 226.	4595469	No	No
подскажите пожалуйста КВР и КОСГУ для бюджетного учреждения при выплате стипендии по ученическому договору соискателю работы? Договор заключен с физ.лицом (не сотрудником	15391671	No	No
Подскажите, медицинские инструменты многоразового использования тоже КОСГУ 341 (к примеру, пинцеты, ножницы, иглы хирургические зеркала по хирургии и кусачки,,,,)	5941071	No	No
Добрый день. В бюджетном учреждении сотрудник подал в суд на школу, из за незаконного увольнения. СУд признал вину школы и постановил восстановить сотрудника в должности. Вместе с тем Взыскать в пользу истца денежные средства за вынужденное прогул. Времекнный прогул оплачивается по КВР 111 КОСГУ 211	15403607	No	No
услуги по вывозу и утилизации отходов: остатки и огарки стальных электродов; лом черных металлов в кусковой форме незагрязненный; стружка черных металлов незагрязненная; обтирочный материал, загрязненный нефтью или нефтепродуктами/ Какой косгу и бух.проводки?	3425870	['обтирочный материал', 'вывоз и утилизация отходы', 'провод']	['12/347516', '12/347542']
"Здравствуйте, по какому КОСГУ 346 или 344 провести ""Ручка оконная"", ""Клей суперполимер"" и Валик меховой"	520738	['провод']	['12/347516']
Добрый день! По какому КОСГУ оплатить потолочные карнизы для штор?	760776	No	No
Добрый день. Сотрудник в рочном порядке направлен в командировку. выплата суточных будет происходить в ближайший день. проживание и проезд будет оплачен по факту приезда обратно. Вид расходов и косгу разные?	2937440	No	No
По акту КСП нужно возместить в доход бюджета средства допущенных нарушений по установлению заработной платы работников школы искусств. Школа решила возместить данный объем нарушений за счет средств от платных услуг. По какому квр и косгу должны пройти данные расходы?	2482971	No	No
добрый день, подскажите пожалуйста возмещение коммунальных услуг при договоре безвозмездного пользования относится на КОСГУ 135 счет 220535, а возмещение налога на имущество и земельного налога на какой счет и на какой КРСГУ?	8396973	No	No
По какому КВР и КОСГУ оплатить исполнительный лист?	2079048	No	No
Здравствуйте ,подскажите пожалуйста на кокой КОСГУ отнести услуги по проведению СОУТ рабочих мест ?	3214511	No	No
Доброе утро. Подскажите пожалуйста, в одном договоре приобретение, установка, монтаж системы видеонаблюдения. По какому КОСГУ оплатить?	15012943	['монтаж система видеонаблюдение']	['12/430615']
добрый день. косгу и квр на возмещение стоимости питания сотрудникам.	11507979	No	No
Сотрудник взял больничный, потом уволился. Закрыл больничный через месяц после увольнения и принес его в учреждение на оплату. Какой КОСГУ применить в данном случае 264 или 266?	3414186	No	No
Добрый день! Казенное учреждение. Поступил исполнительный лист. Предмет возмещения звучит так : взыскать стоимость невозвращенного имущества в размере.....По какому КОСГУ и виду расходов оплатить данный исполнительный	2436062	No	No
Добрый день, подскажите пожалуйста с какого КОСГУ произвести оплат по покосу сорной растительности на территориях состоящих на балансе организации (правомерно ли будет произвести оплату с КОСГУ 225)	3186045	No	No
здравствуйте USB веб камеры для ПК оплатить по КОСГУ 310 или 346?	2571526	No	No
Добрый день! Подскажите, пожалуйста, номерки доя гардероба это КОСГУ 310 или 346?	10109467	No	No
"Разраб.и поставка прог.обесп.""Делопроизводство"" КОСГУ"	8200559	No	No
Здравствуйте! Как правильно отразить в учете следующие операции? Выдано в подотчет 2000 руб.Отчитался в командировке суточные 1500 руб. Остаток по заявлению сотрудника удержан из заработной платы? Проведена корректировка кассовых расходов между КВР 111 КОСГУ 211 и КВР 112 КОСГУ 212 ?	1865192	['провод']	['12/347516']
Здравствуйте! По какому КОСГУ оплатить электронную ключницу?	9126403	No	No
Консультация по вопросам пожарной безопасности с выездом специалиста на объект (аудит) какой косгу	18910044	['пожарный безопасность']	['12/347527']
"Добрый день. Бюджетное учреждение. Подскажите пожалуйста, КОСГУ при отражении расходов на приобретение
продуктов питания для уроков труда. Спасибо!!!"	3530046	No	No
Командировочный проезд без договора КОСГУ?	2812909	No	No
установка и закупка электронных замков косгу	4122896	No	No
"Здравствуйте заключили контракт на поставку и установку спортивной площадки, на какой КОСГу отнести затраты""."	4496340	No	No
Добрый день, какое КОСГУ применить для договора ГПХ, за услуги повара	18561809	No	No
квр и косгу по штрафу за несвоевременное представление документов	14649008	['штраф']	['86/287439']
"Здравствуйте , по какому КОСГУ провести ""Клей суперполимер"""	520738	['провод']	['12/347516']
"День добрый. Заключен контракт в бюджетном учреждении капитальный ремонт крыши за счет целевой субсидии КВР 243 КОСГУ 228. В контракте и форме КС-2 есть раздел Демонтажные работы на определенную сумму. Вопрос: 1. материалы от демонтажа должны быть отражены в учете ""Заказчика"" или ""Подрядчика"";"	2004876	['капитальный ремонт крыша', 'монтаж']	['86/196012', '12/347479']
Добрый день! Какими проводками провести начисление и перечисление ошибки прошлых лет, выявленную в 2023 году. Интересует КБК, КОСГУ т.к. учреждение казенное и эта сумма подлежит возврату в доход бюджета	6300127	['провод']	['12/347516']
добрый день! косгу приобретения ножовки по дереву, топор	12404216	No	No
Добрый ден! Скажите пожалуйста мы оплачиваем санаторно-курортные услуги своим предпенсионерам, затем эти расходы нам возвращает фонд. Скажите по какому косгу оплачивать данные услуги,	7100215	No	No
Добрый день,, подскажите пожалуйста, организация приобретает ssd диск для компьютера, на какой косгу и квр его отнести?	18141876	['компьютер']	['86/279552']
отчисления в авторское общество косгу, если платим не автору самому, а в авторское общество за право исполнять песню	2917045	No	No
здравствуйте. подскажите, демонтаж старого кондиционера включать в первоначальную стоимость нового и по какому КОСГУ если нужно включать?	5656391	['монтаж']	['12/347479']
ДОБРЫЙ ДЕНЬ, подскажите такая ситуация , Администрацмя сельского поселения ремонтирует жилое помещение , заключили договор на поставку оборудования и материалов необходимых для подключения помещения к газоснабжению. приобретается газовый котел, дымоход, стабилизатор, счетчик газа и всякая мелочь, как отражать данные расходы по какому КОСГУ , на установку и подключение будет отдельный договор	2215640	No	No
Добрый день! казенное учреждение планирует приобретение сканера, в спецификации присутствует неисключительные лицензии к сканеру на год обновления и их стоимость выделена отдельно. по какому косгу стоит отнести приобретение этих лицензий? закупка планируется единым договором	5461856	No	No
Добрый день по какому КОСГУ произвести оплату работы манипулятора(погрузка)разгрузка оборудование)	1919258	No	No
"Добрый день! К какому КОСГУ отнести ""Костюм ЮИД (Юный Инспектор Движения)"" и ""Жилет светоотражающий взрослый""? 345 или 346?"	6522413	No	No
Добрый день! на какой КОСГУ отнести приобретение ткани для пошива штор?	10899176	No	No
Здравствуйте, приобретение оперативной памяти для компьютера по какому косгу проводить.	14567316	['компьютер', 'провод']	['12/347516', '86/279552']
добрый день. приобретение чая / кофе в приемную следует относить к КОСГУ 346 или КОСГУ 342	19761847	No	No
Добрый день! Подскажите пожалуйста по какому косгу и квр отразить расходы на приобретение холста?	3780253	No	No
монтаж системы отопления косгу вид затрат	4940278	['монтаж']	['12/347479']
Добрый день ! По какому КОСГУ оплатить услуги связи по передачи данных по Глонасс?	923964	No	No
Подскажите на какой КВР и Косгу отнести приобретение сантехнической арматуры (ремонт унитаза в здании администрации)	2962500	['унитаз', 'арматура']	['12/347516', '12/347520']
Добрый день! Подскажите пожалуйста, МКУ приобретает насос циркуляционный для системы отопления стоимостью 5 030,0р., к какому КОСГУ отнести?	2139660	No	No
Добрый день. Какой применяется КОСГУ . В предмете договора звучит услуги по транспортированию, размещению, обезвреживанию или утилизации медицинских отходов. (класс Г).	19338668	['утилизация медицинский отходы']	['12/347542']
здравствуйте, по какому КВР и КОСГУ оплатить оплачивать Госпошлину в доход бюджета?	7272358	No	No
Добрый день! На какое КОСГУ отнести грант, полученный от Министерства финансов Архангельской области (приносящая доход деятельность)?	17785178	No	No
Добрый день. Подскажите по какому КОСГУ принять водоэмульсионную краску, если на будет израсходована на создание фотозоны. (фотозона это мат.запасы)?	7050754	['краска']	['12/347516']
Здравствуйте!По какой КОСГУ отразить расходы по подключению газопровода при замене котла со снятием заглушки, пуском газа и регулировкой работы котла в количестве 2 штук в здание котельной?	4579505	['провод']	['12/347516']
День добрый. Бюджетное учреждение восстановило дебиторскую задолженность с забалансового счета 04. Какими проводками восстанавливать задолженность. Задолженность по суммам принудительного изъятия. КВР 140 КОСГУ 144 и КВР 130 КОСГУ 134	6384640	['провод']	['12/347516']
Добрый день, подскажите пожалуйста, передача экземпляров книг, которые числятся на материальных запасах посольству Ангола где можно посмотреть статью Косгу ,Кэк?	20114483	No	No
Какой КОСГУ будет доставка СДЭК?	5370614	No	No
КОСГУ оказание услуг по испытаниям и измерениям маммографа?	9188616	No	No
Добрый день! По какому КОСГУ отразить полевое довольствие?	10186576	No	No
Добрый день. Подскажите, пожалуйста КОСГУ по оплате договора на оказание услуг по обращению с отходами 1 и 2 классов опасности . Федеральный оператор обязуется принять и оказать услуги по обращению с отходами - сбор, трансплртирование, обработка, утилизация, обезвреживание. 223 КОСГУ или 225 КОСГУ ?	7452431	['обработка', 'утилизация', 'сбор']	['12/347542']
сотрудник уволился по окончании отпуска 31.08,документы по выезду с севера прислал 20.08,вид расходов 112,косгу 214	2848794	No	No
"Добрый день! От общероссийского общественно-государственного движения детей и молодежи ""Движение первых"" поступил грант из федерального бюджета в форме субсидии по п.4 ст.78.1 БК РФ в государственное бюджетное учреждение культуры. Какой КОСГУ применить 152 или 155?"	7783986	No	No
по какому косгу оплатить разравнивание грунта, планировка территории	8306069	['грунт']	['12/347516']
Здравствуйте! Подскажите пожалуйста по какому косгу регистрировать приобретение , изготовление Факсимиле	16130218	No	No
масло для смазки оборудования какой косгу	2880569	No	No
Здравствуйте! По какому косгу можно провести замок защелку ?	17456956	['провод']	['12/347516']
Добрый день ! Подскажите пожалуйста КОСГУ разравнивание грунта ??	2081960	['грунт']	['12/347516']
Добрый день. Подскажите, пожалуйста, по какому КВР и КОСГУ отразить расходы направляющей стороны в рамках Соглашения о трудоустройстве инвалидов.	17076964	No	No
Добрый день. К какому КОСГУ относится Фонд пенсионного и социального страхования РФ?	12163314	No	No
Скажите пожалуйста,а по какому КОСГУ и КВР начислить страховые взносы с суточных свыше нормы	18284348	No	No
Добрый день, подскажите пожалуйста, приобретаем счетчик электрический с расходными материалами(кабели,рейки,труба гафрированная,корпус металлический) Какой будет косгу? Устанавливаем своими силами.	1742805	['кабель']	['12/347516']
"Добрый день! По какому КОСГУ оплатить изготовление и печать табличек по ГО и ЧС, если в итоге мы приобретаем ""материалы"""	20102831	No	No
День добрый! На балансе на счете 101.22 отражен объект Санитарный Блок- модуль. Вышла из строя составляющая основного средства, а именно емкость для воды. Вопрос:По какому КОСГУ провести замену емкости	2004876	['провод']	['12/347516']
Добрый день! Пожалуйста подберите подборку материалов по выходному пособию при ликвидации казенного учреждения.( ,кбк, косгу, сроки выплаты, как рассчитать сумму выходного пособия и т.д.)	6845456	No	No
Добрый день, подскажите пожалуйста, передача экземпляров книг, которые числятся на материальных запасах посольству Ангола где можно посмотреть статью Косгу ,Кэк?	20114483	No	No
По каким квр и косгу учитывается капитальный ремонт в бюджетной организации?	9646012	['капитальный ремонт']	['86/196012']
В Казенное учреждение поступил Исполнительный лист от физического лица с просьбой возместить расходы по госпошлине, почтовые расходы, расходы на оплату услуг представителя, расходы на проведение экспертизы. По какому (каким) Косгу оплатить эти расходы?	3566758	No	No
Добрый день! казенное учреждение планирует приобретение сканера, в спецификации присутствует неисключительные лицензии к сканеру на год обновления и их стоимость выделена отдельно. сканер будет приобретен по косгу 310, по какому косгу стоит отнести приобретение этих лицензий? закупка планируется единым договором	5461856	No	No
Добрый день, подскажите пожалуйста по какому КОСГУ дохода автономному учреждению поставить благотворительную помощь от банка? Спасибо	1929653	No	No
Добрый вечер! Сидение и спинка из фанеры по какому КОСГУ?	11357060	No	No
Добрый день! Автономное учреждение ХМАО-Югры приобретает систему видеонаблюдения. Оплата по договору произведена по коду КОСГУ 226 в полном размере, однако в локальном сметном расчете есть оконечные объекты, которые необходимо принять к учету как объекты основных средств (видеокамеры, IP-камеры). Какими проводками в бухгалтерском учете следует отразить оплату по договору, принятие к учету услуг и объектов ОС (в том числе на забалансовых счетах)?	1591354	['система видеонаблюдение', 'провод']	['12/347516', '12/430615']
Система контроля загазованности, подскажите КОСГУ	3439686	['система контроль загазованность']	['12/430615']
"Здравствуйте государственное казённое учреждение по самостоятельно разработанному локальному акту с согласованием учредителя производит ежемесячную выплату на возмещение части затрат, связанных с наймом жилых помещений работникам учреждения по КОСГУ подстатью 214 ""Прочие несоциальные выплаты персоналу в натуральной форме"" (т.е. оплачивает часть затрат в размере 20 000 руб., если сотрудник заключил договор аренды квартиры), и отражает суммы возмещения сотруднику по счету 302.14 Расчеты по прочим несоциальным выплатам персоналу в натуральной форме. Вопрос : в каком журнале операций . (ф.0504071"	11817286	No	No
Добрый день. Подскажите КВР и КОСГУ за работы по срезке растительного грунта бульдозером	18358115	['грунт']	['12/347516']
"Добрый день! ""Плата за предоставление сведений из ЕГРН"" как принять к учету? КОСГУ и КВР?"	17533013	No	No
косгу спортинвентарь	19422408	No	No
"Здравствуйте, скажите, пожалуйста, по какому КОСГУ оплатить дополнительную кнопку вызова со 
шнурком с табличкой"	3327240	No	No
Добрый день! Подскажите пожалуйста, по какому КОСГУ оплачивать замки врезные (запчасти для замка) и дверные ручки?	2686280	['замок врезной']	['12/347595']
В октябре 2022 года были выполнены работы по присоединению к сетям для увеличения мощности, в акте выполненных работ выполнены работы по демонтажу старого счетчика и установки нового,В 2022 году оплата прошла по КОСГУ 225. Договор на демонтаж и установку один. Старый счетчик 2018 года стоит на балансе учреждения. Вопрос: в 2022 году старый счетчик должны были списать, а новый поставить на баланс учреждения на общую сумму, которая в договоре. Как правильно отразить в 2023 году?	14684568	['монтаж']	['12/347479']
Здравствуйте! Вопрос: по какой статье КОСГУ оплатить кожух для видеокамеры?	985768	No	No
Подскажите пожалуйста как быть. Нам банк вернул за поставщика банковскую гарантию который не выполнил свои обязательства по контракту и не поставил основное средство. Мы бюджетное учреждение заплатили паставщику аванс в размере банковской гарантии за выполнение условий договора. Что делать с банковской гарантией которую нам перечислел банк, и как правильно это отразить в бухгалтерии. Какими проводками и квр с косгу???? И должен ли нам поставщик вернуть аванс за не поставлено основное средство	18633752	['провод']	['12/347516']
добрый день. бюджетное образовательное учреждение. студент потерял книгу и возместил ее стоимость. по какому косгу учесть данный приход в бух.учете?	470922	No	No
"Здравствуйте. Казенное учреждение должно возместить в доход бюджета на КБК 1 13 02994 04 0000 130
денежные средства по акту проверки по КВР 853 и КОСГУ 295. Какой КБК будет у сч. 1.304.05.295"	7622439	No	No
"Добрый день!
Заключили Договор по изготовлению костюма для экспонирования на постоянной эксплозии. Костюм изготавливают из ткани исполнителя. По какому КОСГУ оплачивают данный договор?"	7951432	No	No
подскажите пожалуйста по какому косгу оплачивать проезд в такси во время командировки ?	6045150	No	No
"Добрый вечер
какой косгу выбрать для штатива медицинского? 346 или 310"	1604785	No	No
